"team1","name","team2","team3","team4","team5","team6","team7","team8","team9","team10","team11","team12","team13","team14","team15","team16","team17","team18","team19","team20","team21","team22","team23","team24","seed","cost"
"151","East Carolina","151","151","151","151","151","151","151","151","151","151","151","151","151","151","151","151","151","151","151","151","151","151","151",NA,NA
"2193","ETSU","2193","2193","2193","2193","2193","2193","2193","2193","2193","2193","2193","2193","2193","2193","2193","2193","2193","2193","2193","2193","2193","2193","2193",NA,NA
"2837","E Texas A&M","2837","2837","2837","2837","2837","2837","2837","2837","2837","2837","2837","2837","2837","2837","2837","2837","2837","2837","2837","2837","2837","2837","2837",NA,NA
"2197","E Illinois","2197","2197","2197","2197","2197","2197","2197","2197","2197","2197","2197","2197","2197","2197","2197","2197","2197","2197","2197","2197","2197","2197","2197",NA,NA
"2198","E Kentucky","2198","2198","2198","2198","2198","2198","2198","2198","2198","2198","2198","2198","2198","2198","2198","2198","2198","2198","2198","2198","2198","2198","2198",NA,NA
"2199","E Michigan","2199","2199","2199","2199","2199","2199","2199","2199","2199","2199","2199","2199","2199","2199","2199","2199","2199","2199","2199","2199","2199","2199","2199",NA,NA
"331","E Washington","331","331","331","331","331","331","331","331","331","331","331","331","331","331","331","331","331","331","331","331","331","331","331",NA,NA
"2210","Elon","2210","2210","2210","2210","2210","2210","2210","2210","2210","2210","2210","2210","2210","2210","2210","2210","2210","2210","2210","2210","2210","2210","2210",NA,NA
"339","Evansville","339","339","339","339","339","339","339","339","339","339","339","339","339","339","339","339","339","339","339","339","339","339","339",NA,NA
"2217","Fairfield","2217","2217","2217","2217","2217","2217","2217","2217","2217","2217","2217","2217","2217","2217","2217","2217","2217","2217","2217","2217","2217","2217","2217",NA,NA
"161","Fair Dickinson","161","161","161","161","161","161","161","161","161","161","161","161","161","161","161","161","161","161","161","161","161","161","161",NA,NA
"50","Florida A&M","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50",NA,NA
"2226","FAU","2226","2226","2226","2226","2226","2226","2226","2226","2226","2226","2226","2226","2226","2226","2226","2226","2226","2226","2226","2226","2226","2226","2226",8,5
"57","Florida","57","57","57","57","57","57","57","57","57","57","57","57","57","57","57","57","57","57","57","57","57","57","57",7,8
"526","FGCU","526","526","526","526","526","526","526","526","526","526","526","526","526","526","526","526","526","526","526","526","526","526","526",NA,NA
"2229","FIU","2229","2229","2229","2229","2229","2229","2229","2229","2229","2229","2229","2229","2229","2229","2229","2229","2229","2229","2229","2229","2229","2229","2229",NA,NA
"52","Florida St","52","52","52","52","52","52","52","52","52","52","52","52","52","52","52","52","52","52","52","52","52","52","52",NA,NA
"2230","Fordham","2230","2230","2230","2230","2230","2230","2230","2230","2230","2230","2230","2230","2230","2230","2230","2230","2230","2230","2230","2230","2230","2230","2230",NA,NA
